image_type,context_mode,context_label,subclass_label,n_stable_points,median_naive_state,median_expert_state,dominant_transition_label
familiar,0,"ctx=(F,F)",other,443,0.0,0.0,unresponsive -> unresponsive
familiar,0,"ctx=(F,F)",FF_FB_narrow_novel,171,0.0,0.0,unresponsive -> unresponsive
familiar,1,"ctx=(F,T)",other,334,0.0,0.0,unresponsive -> unresponsive
familiar,1,"ctx=(F,T)",FF_FB_narrow_novel,255,0.0,0.0,unresponsive -> unresponsive
familiar,10,"ctx=(T,F)",other,163,0.0,-0.0195962999351322,unresponsive -> FB
familiar,10,"ctx=(T,F)",FF_FB_narrow_familiar,112,0.09307991009578104,-0.01515009859576815,FF -> FB
familiar,10,"ctx=(T,F)",FF_FB_narrow_novel,47,0.0,-0.0375076899547129,unresponsive -> FB
familiar,10,"ctx=(T,F)",FF_FB_broad,44,0.1134681837824173,-0.0653832930857315,FF -> FB
familiar,11,"ctx=(T,T)",other,152,0.0,-0.0253190574999898,unresponsive -> FB
familiar,11,"ctx=(T,T)",FF_FB_narrow_familiar,74,0.10015585415065285,-0.01754635097086425,FF -> FB
familiar,11,"ctx=(T,T)",FF_FB_narrow_novel,69,0.0,-0.0209889803193509,unresponsive -> FB
familiar,11,"ctx=(T,T)",FF_FB_broad,67,0.0861394005864858,-0.034562746014446,FF -> FB
novel,0,"ctx=(F,F)",other,446,0.0,0.0,unresponsive -> unresponsive
novel,0,"ctx=(F,F)",FF_FB_narrow_familiar,170,0.0,0.0,unresponsive -> unresponsive
novel,0,"ctx=(F,F)",FF_FB_narrow_novel,29,0.3777744950354099,0.3800142426490783,FF -> FF
novel,0,"ctx=(F,F)",FF_FB_broad,18,0.582230279058218,0.5771052991747856,FF -> FF
novel,1,"ctx=(F,T)",FF_FB_narrow_novel,136,0.12452123237028716,0.12997601240966467,FF -> FF
novel,1,"ctx=(F,T)",FF_FB_broad,87,0.2495889719873666,0.2470458953054621,FF -> FF
novel,1,"ctx=(F,T)",other,29,0.0,0.0012231597788631,unresponsive -> FF
novel,1,"ctx=(F,T)",FF_FB_narrow_familiar,9,0.0,0.0008281539250165,unresponsive -> FF
novel,10,"ctx=(T,F)",other,336,0.0,0.0,unresponsive -> unresponsive
novel,10,"ctx=(T,F)",FF_FB_narrow_familiar,265,0.0,0.0,unresponsive -> unresponsive
novel,10,"ctx=(T,F)",FF_FB_broad,19,0.5357851548790932,0.5305389990210533,FF -> FF
novel,10,"ctx=(T,F)",FF_FB_narrow_novel,17,0.3847701340168714,0.3837677690535784,FF -> FF
novel,11,"ctx=(T,T)",FF_FB_broad,85,0.2817203815504909,0.2456174157997593,FF -> FF
novel,11,"ctx=(T,T)",FF_FB_narrow_novel,72,0.1963673155000433,0.1882647905629128,FF -> FF
novel,11,"ctx=(T,T)",other,40,0.0,-0.015205301279202051,unresponsive -> FB
novel,11,"ctx=(T,T)",FF_FB_narrow_familiar,28,0.0,-0.03321559601102485,unresponsive -> FB
