boundary_pair,n_points,median_margin2,same_manifold_pair,dominant_assigned_target,w_ff_0_median,w_ff_0_log_iqr,w_ff_1_median,w_ff_1_log_iqr,w_fb_0_median,w_fb_0_log_iqr,w_fb_1_median,w_fb_1_log_iqr,w_lat_0_median,w_lat_0_log_iqr,w_lat_1_median,w_lat_1_log_iqr,w_pv_lat_0_median,w_pv_lat_0_log_iqr,w_pv_lat_1_median,w_pv_lat_1_log_iqr,lr_ff_median,lr_ff_log_iqr,lr_fb_median,lr_fb_log_iqr,lr_lat_median,lr_lat_log_iqr,lr_pv_median,lr_pv_log_iqr
FF_FB_narrow_novel__FF_un,109,0.08496497040951256,False,FF_un,0.0068639174254173,1.5559390320043964,0.5855307206097651,0.2571237837595396,0.0149738718036721,2.2156950671694955,0.0074981073483706,2.3624270835206516,0.0404427843451058,2.0368681652989564,0.0104965167266646,1.8192075413230617,0.0231800341300094,2.0013131960898964,0.0220035494791487,1.9018969297188173,0.003544969662091,1.4771087103384148,0.0011802814292292,1.1725954755984054,0.0021049515904783,1.4778041839600078,0.0022761347216422,1.0256330270302247
FF_FB_narrow_familiar__un_FB,76,0.08007976984069409,True,un_FB,0.17426132232883546,1.1111943918044627,0.0063573195904729,1.6269279406595978,0.0174369064866546,2.662352278224596,0.0032857024378781,1.721198187296751,0.00632579298361045,1.939520351578648,0.0236064921638524,2.2298036586600185,0.0417826926758188,1.9028790971256018,0.03278627822423165,1.910780749111523,0.009573791529208,1.2630170641937348,0.00191159122926315,1.2190188261767072,0.00568579298305535,1.3078064632748692,0.00157346841007935,1.2887357224543496
FB_FB__FF_FB_narrow_novel,59,0.0385153077682423,True,FB_FB,0.0056478989602927,1.2524126901132715,0.0021302917515147,1.425115462113307,0.0060799558927736,1.7019993938325142,0.0079775464350064,1.70552774084853,0.0239791665586844,2.4460737097189167,0.0082282585876567,1.7650218225218304,0.0233792344114492,2.0343266614141506,0.0027931727769138,1.7297939263109245,0.0024555487132816,1.6959881354103912,0.0100478148140926,0.25558304300223855,0.0017539332270554,1.3891842793615483,0.0021169325680715,1.0243985755216096
FF_FB_broad__FF_FB_narrow_novel,52,0.08328121345967654,True,FF_FB_broad,0.0080058563755707,1.9192582949513282,0.37284099455075,0.8035992640640419,0.0561477411538362,1.7639648819131926,0.05676870420575135,1.9876796964098653,0.02884966654221995,1.8829991662263412,0.008703788401776,1.7697430394172493,0.0266739528185613,2.3407346835260214,0.0219303763729717,2.1916782732688467,0.0047799659051466995,1.7274157768671425,0.0036029261536896,0.5668567799173707,0.0022746949160512503,1.4785869910263787,0.0018083756852470502,1.0349784323844946
FB_FB__un_FB,51,0.07140685554847792,True,FB_FB,0.0032896437260709,1.7777808478553139,0.0059416747229078,1.6842637711382682,0.435874349702925,1.9015716641716869,0.036965815199969,2.1888464898898645,0.0468557847388487,1.801961546130858,0.0685753981244588,2.4759979172559725,0.0276096805532815,2.0390007602724474,0.011604128633137,1.9247949615033755,0.0044143240452111,1.4032384328839624,0.0003674792413443,0.9002177273296232,0.0019121216693318,1.5180981817153194,0.0011953949499201,1.0653339201023084
FF_FB_narrow_novel__un_FB,22,0.059986136684503366,True,FF_FB_narrow_novel,0.0037807578190003,1.6684908214214302,0.2411023725080173,0.21014663382016296,0.006824140528394499,1.3122183017848683,0.01123517663619715,1.8175660957891697,0.024349352755633748,1.9718973754747524,0.01246562049597565,1.7891147088745532,0.0132004612199387,1.9121042915893611,0.03835294981857215,2.011661642458781,0.00120814948637485,0.7441845638028619,0.0001484221704596,0.6959519908952245,0.0009110067243697,1.240145361103409,0.00312569897621515,0.7045558106225451
FB_FB__FF_FB_broad,14,0.08672054126247764,True,FB_FB,0.10284457506288655,2.5592541026203737,0.2146131694316864,1.1176739968902338,0.2419634207304197,0.9524447213940029,0.044777756409192154,1.139349005381587,0.054091527417287705,2.0472639957254137,0.062399110763545554,2.0309522865315404,0.16030949864948685,1.331940312001234,0.021225131828694753,2.212955742904626,0.01724693936690555,1.2635180806205852,0.00362470240675695,1.7202569213645644,0.006514623994007649,0.5881446420597716,0.00115727655871,0.8895053672808473
FF_FB_broad__FF_FB_narrow_familiar,13,0.09999109592089894,True,FF_FB_broad,0.9132976780457664,0.41056144433652664,0.0039183442208205,2.228171790264949,0.0853988081216812,2.8803347863389903,0.0155921182081642,1.3268928422109736,0.0277039447456565,2.6976037380221407,0.0074834978092249,2.2267516123928375,0.331217885017395,2.1735959806124288,0.056614616719836,1.1104864354962691,0.0045491502739592,1.087867876554437,0.0026045993435206,1.5435350225468971,0.0021401393656435,1.2871918380261165,0.0022848660591989,0.8233208919353014
FB_FB__FF_FB_narrow_familiar,12,0.06493404781740653,True,FB_FB,0.17059656851121346,1.512777436015535,0.00127761016081935,1.4743430858601654,0.09337817536055776,1.0784889275637624,0.24234831122049916,2.799107039711504,0.00370271223076535,1.2044595229635493,0.016398955048035402,2.2845135594228165,0.01320855920392605,2.0287139654591266,0.0030424149974132503,1.558421341805578,0.0013768384604521998,1.3400285516176456,0.0024599968622793,0.87412337541054,0.0009795335455241,1.4252740767292713,0.00055430190468675,1.3792147332971045
FF_FB_narrow_familiar__FF_un,6,0.048989322071420816,False,FF_un,1.5884951577091726,0.09050744633103722,0.08993583420238485,0.7775593244422913,0.05725439618644005,1.8611878304654503,0.01022412201926675,1.3337971837463225,0.0012152020073968,2.0219357739948123,0.00119250759959685,0.8948211209256893,0.04018649519083045,1.0647260447598363,0.0014377078452871002,3.1302488509519084,0.00179085932285875,0.49017579550612167,0.0050698639376726,1.0994263857456827,0.0024665898983334497,0.6928599987093689,0.0015742855910561,0.8780985400032075
FF_FB_broad__un_FB,2,0.05970942998855566,True,un_FB,0.00874002943116015,0.2527164101664714,0.027163969155844098,0.03061946904426538,0.0010180888871223,0.365318464270441,0.0467783101833628,0.3800601399195278,0.00941354520315575,0.3477598038700205,0.01123172975279955,0.22577202731740065,0.261917627807157,0.4757629062016926,0.0013607576460366502,0.11887379630066874,0.00096755798419255,0.014292195898136129,0.0037430179273872503,0.13508636013203823,0.008207210978461162,0.47210075187562106,0.00248704541801665,0.4171565569719702
FF_FB_narrow_familiar__FF_FB_narrow_novel,1,0.1079193383952255,True,FF_FB_narrow_familiar,0.0571128045445427,0.0,0.0005633849918007,0.0,0.0008848130896718,0.0,0.0001261535450371,0.0,0.0005570184907417,0.0,0.0109728605409718,0.0,0.0016619530507672,0.0,0.0001109069017703,0.0,0.0002019219618435,0.0,0.0130429649843578,0.0,0.0009056441642569,0.0,0.0002394728292151,0.0
