class_a,class_b,candidate_idx_a,candidate_idx_b,distance,w_ff_0_a,w_ff_1_a,w_fb_0_a,w_fb_1_a,w_lat_0_a,w_lat_1_a,w_pv_lat_0_a,w_pv_lat_1_a,lr_ff_a,lr_fb_a,lr_lat_a,lr_pv_a,w_ff_0_b,w_ff_1_b,w_fb_0_b,w_fb_1_b,w_lat_0_b,w_lat_1_b,w_pv_lat_0_b,w_pv_lat_1_b,lr_ff_b,lr_fb_b,lr_lat_b,lr_pv_b
FF_FB_narrow_novel,un_FB,60,51,0.7767078779236909,0.002508841534878463,0.23598683374192744,0.0038727727689218303,0.030239215054309952,0.0034870291494387704,0.00028115000772777575,0.0020960293122285014,0.0007151076426555933,0.013546273394884283,0.0002818188964088444,0.001600122032012687,0.0001646650162040535,0.00020821857918610959,0.010736673308777516,0.00016125033863112018,0.021775787131246095,0.10174284252393631,0.034430583101533165,0.009509751060051495,0.010001000252662207,0.0024773022778926982,0.0007524080780252852,0.0014305033948685507,0.00037543344519149423
FF_FB_narrow_familiar,un_FB,19,11,0.7831820630163473,0.0002593946726113457,0.0008985502682860848,0.1666593405150191,0.000687367597142464,0.015392539906018944,0.0003124311288313501,0.20920329501249402,0.06366126520866891,0.005503487099795333,0.0009391611942596656,0.00011724715383816986,0.0042598115264867445,0.0006444383603742658,0.004923129304996751,0.002607166486348131,0.002949500991803579,0.005504953531068492,0.008896549349732765,0.017902478528200767,0.00012608855151542667,0.002259888380973615,8.893839682069967e-05,0.004642136761883698,0.003417887848410231
FF_FB_narrow_familiar,un_FB,29,44,0.882359660273802,0.30207480467375586,0.003672289673141799,0.004223949067903846,0.04855066072105912,0.031181919266165092,0.0014493752998713451,0.0007114651592951722,0.00019221972849111697,0.037223070514733454,0.002009643155093216,0.0011782178496289898,0.0007168146383885917,0.0018337319871173344,0.11155671756742398,0.0008026485847850308,0.0002399052218828495,0.0008605616368539881,0.01788188332370021,0.020847938152311066,0.10971067929417236,0.039566813843938696,0.0006517001975332889,0.0029515280980308054,0.0005049918472767825
FF_FB_broad,FF_FB_narrow_novel,2,74,1.0298171943015906,0.5,0.5,0.05,0.05,0.3,0.3,0.3,0.3,0.03,0.003,0.01,0.0025,0.45993390679359436,0.25892892479896545,0.06105286255478859,0.087165467441082,0.5663812160491943,0.16294871270656586,0.4486590623855591,0.21869097650051117,0.04320806264877319,0.0032815025188028812,0.010136688128113747,0.0019167190184816718
FF_FB_broad,FF_FB_narrow_novel,0,74,1.0298171943015906,0.5,0.5,0.05,0.05,0.3,0.3,0.3,0.3,0.03,0.003,0.01,0.0025,0.45993390679359436,0.25892892479896545,0.06105286255478859,0.087165467441082,0.5663812160491943,0.16294871270656586,0.4486590623855591,0.21869097650051117,0.04320806264877319,0.0032815025188028812,0.010136688128113747,0.0019167190184816718
FF_FB_broad,FF_FB_narrow_familiar,2,76,1.325154138788943,0.5,0.5,0.05,0.05,0.3,0.3,0.3,0.3,0.03,0.003,0.01,0.0025,0.809883713722229,0.3353614807128906,0.029382387176156044,0.08474048227071762,0.4470680356025696,0.39482828974723816,0.1775519698858261,0.23862981796264648,0.012340761721134186,0.0016662274720147252,0.006802380550652742,0.002949311165139079
FF_FB_broad,FF_FB_narrow_familiar,0,76,1.325154138788943,0.5,0.5,0.05,0.05,0.3,0.3,0.3,0.3,0.03,0.003,0.01,0.0025,0.809883713722229,0.3353614807128906,0.029382387176156044,0.08474048227071762,0.4470680356025696,0.39482828974723816,0.1775519698858261,0.23862981796264648,0.012340761721134186,0.0016662274720147252,0.006802380550652742,0.002949311165139079
FF_FB_narrow_familiar,FF_FB_narrow_novel,19,60,1.3871305225050008,0.0002593946726113457,0.0008985502682860848,0.1666593405150191,0.000687367597142464,0.015392539906018944,0.0003124311288313501,0.20920329501249402,0.06366126520866891,0.005503487099795333,0.0009391611942596656,0.00011724715383816986,0.0042598115264867445,0.002508841534878463,0.23598683374192744,0.0038727727689218303,0.030239215054309952,0.0034870291494387704,0.00028115000772777575,0.0020960293122285014,0.0007151076426555933,0.013546273394884283,0.0002818188964088444,0.001600122032012687,0.0001646650162040535
FF_FB_broad,un_FB,63,17,1.4443230473890962,0.0015903610523187552,0.007209785388669205,0.17834090699309432,0.27317440895317,0.02052204184407471,0.00039702481941444114,0.8181061835044849,0.0017458955564451217,0.0312638882066158,0.0022905272832970313,0.0033527604935242187,0.00029622573434784545,0.10121450597744451,0.0002449465415857498,0.0015346200426639455,0.16134410888873035,0.0018380554732614698,0.03692590489077474,0.9357704235165202,0.023493866450221775,0.00852779559271256,0.00012950332074427087,0.00015940700636770966,0.00047573506358951156
FF_FB_narrow_familiar,FF_FB_narrow_novel,29,60,1.5250027938852857,0.30207480467375586,0.003672289673141799,0.004223949067903846,0.04855066072105912,0.031181919266165092,0.0014493752998713451,0.0007114651592951722,0.00019221972849111697,0.037223070514733454,0.002009643155093216,0.0011782178496289898,0.0007168146383885917,0.002508841534878463,0.23598683374192744,0.0038727727689218303,0.030239215054309952,0.0034870291494387704,0.00028115000772777575,0.0020960293122285014,0.0007151076426555933,0.013546273394884283,0.0002818188964088444,0.001600122032012687,0.0001646650162040535
FF_FB_broad,un_FB,0,80,1.566935321156054,0.5,0.5,0.05,0.05,0.3,0.3,0.3,0.3,0.03,0.003,0.01,0.0025,0.3510213792324066,0.29365766048431396,0.059252966195344925,0.05967603996396065,0.530752420425415,0.283329576253891,0.1690269261598587,0.22541049122810364,0.02314111590385437,0.007277709897607565,0.006822291295975447,0.0042091915383934975
FF_FB_narrow_novel,un_FB,40,51,1.7180571954529555,0.00012725473403680165,0.5516590854351818,0.029891635394745788,0.36482708676460984,0.004316562468464538,0.08418842287437928,0.3645762842174971,0.00016056430407135883,0.00021367583046210008,0.0018089992773408327,0.0008246316295295547,0.00014983972004198003,0.00020821857918610959,0.010736673308777516,0.00016125033863112018,0.021775787131246095,0.10174284252393631,0.034430583101533165,0.009509751060051495,0.010001000252662207,0.0024773022778926982,0.0007524080780252852,0.0014305033948685507,0.00037543344519149423
FB_FB,un_FB,9,36,1.7318156532132765,0.03917045055124804,0.0018421542570750558,0.08100799273610448,0.4299838886122674,0.08688558122158807,1.1512668384798035,0.09015456631552266,0.0005930268538440525,0.0005958281489295409,0.00030589035003396727,0.002607024249415415,0.0005775045560231228,0.008091049112263153,0.3730724445824765,0.00012901922167780469,0.0022055379961612364,0.02557524323062735,1.5696057426389374,0.14982308521899065,0.0011977675579730909,0.011727580243191454,0.00011244774111566854,0.000595586269900257,0.001863036941651086
FB_FB,un_FB,58,39,1.8852301782657157,0.10666892038479696,0.023383733845982274,0.00010545564275048993,0.5373072516619746,0.1987009602787073,0.11889814082413733,0.0011291290668708509,0.05256023401043029,0.0019048961994694688,0.011672136469866902,0.00032901072170141523,0.004867163846575247,0.01016135161924124,0.002150333764715463,0.001253983135295788,0.0006187580211199526,0.0001014361060328757,0.4012367783593144,0.007604110859832661,0.006747315740050374,0.0017180205307173364,0.010135823485368647,0.00020870289569521283,0.001349304359370312
FB_FB,FF_FB_narrow_novel,9,40,2.09803329305514,0.03917045055124804,0.0018421542570750558,0.08100799273610448,0.4299838886122674,0.08688558122158807,1.1512668384798035,0.09015456631552266,0.0005930268538440525,0.0005958281489295409,0.00030589035003396727,0.002607024249415415,0.0005775045560231228,0.00012725473403680165,0.5516590854351818,0.029891635394745788,0.36482708676460984,0.004316562468464538,0.08418842287437928,0.3645762842174971,0.00016056430407135883,0.00021367583046210008,0.0018089992773408327,0.0008246316295295547,0.00014983972004198003
FB_FB,FF_FB_narrow_novel,52,18,2.1101786228423713,0.004738234958305834,0.8249593972419123,0.5446178095096723,0.007671295935671829,0.3382243608594848,1.0523478876947525,0.24479421410265276,0.0002521538716720279,0.0001334953430653196,6.0996483703729675e-05,0.00017950416431888408,0.0005442115298820049,0.0248793178165803,0.9595922230748714,0.0006951604325391852,0.018854689382775167,0.012465079941152429,0.23498626815483037,0.00014519968747952076,0.002701286021069054,0.0002535720063509711,0.0025448103247231782,0.0020230998773180515,0.0012195932692976278
FB_FB,FF_FB_narrow_familiar,9,19,2.290411165926956,0.03917045055124804,0.0018421542570750558,0.08100799273610448,0.4299838886122674,0.08688558122158807,1.1512668384798035,0.09015456631552266,0.0005930268538440525,0.0005958281489295409,0.00030589035003396727,0.002607024249415415,0.0005775045560231228,0.0002593946726113457,0.0008985502682860848,0.1666593405150191,0.000687367597142464,0.015392539906018944,0.0003124311288313501,0.20920329501249402,0.06366126520866891,0.005503487099795333,0.0009391611942596656,0.00011724715383816986,0.0042598115264867445
FB_FB,FF_FB_broad,9,63,2.6287271239447265,0.03917045055124804,0.0018421542570750558,0.08100799273610448,0.4299838886122674,0.08688558122158807,1.1512668384798035,0.09015456631552266,0.0005930268538440525,0.0005958281489295409,0.00030589035003396727,0.002607024249415415,0.0005775045560231228,0.0015903610523187552,0.007209785388669205,0.17834090699309432,0.27317440895317,0.02052204184407471,0.00039702481941444114,0.8181061835044849,0.0017458955564451217,0.0312638882066158,0.0022905272832970313,0.0033527604935242187,0.00029622573434784545
FB_FB,FF_FB_narrow_familiar,52,19,2.8489942516550077,0.004738234958305834,0.8249593972419123,0.5446178095096723,0.007671295935671829,0.3382243608594848,1.0523478876947525,0.24479421410265276,0.0002521538716720279,0.0001334953430653196,6.0996483703729675e-05,0.00017950416431888408,0.0005442115298820049,0.0002593946726113457,0.0008985502682860848,0.1666593405150191,0.000687367597142464,0.015392539906018944,0.0003124311288313501,0.20920329501249402,0.06366126520866891,0.005503487099795333,0.0009391611942596656,0.00011724715383816986,0.0042598115264867445
FB_FB,FF_FB_broad,52,0,2.9677505535416002,0.004738234958305834,0.8249593972419123,0.5446178095096723,0.007671295935671829,0.3382243608594848,1.0523478876947525,0.24479421410265276,0.0002521538716720279,0.0001334953430653196,6.0996483703729675e-05,0.00017950416431888408,0.0005442115298820049,0.5,0.5,0.05,0.05,0.3,0.3,0.3,0.3,0.03,0.003,0.01,0.0025
